Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
87,00000000,2020-02-14 15:16:39,Slovakia,desktop,Firefox 73.0,Windows 10,3,
88,00000000,2020-02-14 16:09:53,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,3,...
89,00000000,2020-02-14 17:02:23,Slovakia,desktop,Chrome 81.0.4044,Windows 10,1,
90,00000000,2020-02-14 17:32:25,Slovakia,phone,Chrome Mobile 68.0.3440,Android 4.3,5,
91,00000000,2020-02-14 17:42:35,Slovakia,desktop,Edge 17.17134,Windows 10,4,nejasne podmienky navzajom zadarmo
92,00000000,2020-02-14 20:20:11,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,Prosim balik dorucit od 18.2.po 15.p0
93,00000000,2020-02-14 21:57:59,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,zrozumiteľné
94,00000000,2020-02-14 23:25:20,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,5,
95,00000000,2020-02-15 07:55:17,Slovakia,phone,Chrome Mobile 79.0.3945,Android,1,
96,00000000,2020-02-15 08:04:37,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,1,je to rýchle
97,00000000,2020-02-15 08:17:29,Slovakia,phone,Chrome Mobile 77.0.3865,Android,1,
