Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
98,00000000,2020-02-15 09:55:45,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
99,00000000,2020-02-15 10:17:28,Slovakia,desktop,Firefox 72.0,Windows 10,1,
100,00000000,2020-02-15 12:17:31,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
101,00000000,2020-02-15 12:32:37,Slovakia,tablet,Chrome 79.0.3945,Android 4.4.4,1,"Všetky kroky sú vysvetlené, jednoduché. "
102,00000000,2020-02-15 13:12:13,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
103,00000000,2020-02-15 13:32:40,Slovakia,desktop,Chrome 49.0.2623,Windows Vista,1,"objednávka z domu bez čakania, lepší prehľad a porovnanie služieb a MT"
104,00000000,2020-02-15 15:11:23,Slovakia,desktop,Firefox 73.0,Windows 10,2,
105,00000000,2020-02-15 16:04:39,Slovakia,phone,Facebook 256.0.0,Android 8.1.0,1,
106,00000000,2020-02-15 16:04:48,Slovakia,desktop,Firefox 72.0,Windows 7,1,"Stránka prehľadná, stačí len dopísať odpoved na otázky "
107,00000000,2020-02-15 16:13:14,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
108,00000000,2020-02-15 17:00:48,Slovakia,phone,Chrome Mobile 79.0.3945,Android,1,Všetko v pohode. 
109,00000000,2020-02-15 17:43:13,Slovakia,phone,Samsung Internet 10.2,Android,1,
110,00000000,2020-02-15 18:04:52,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
111,00000000,2020-02-15 18:05:07,Slovakia,desktop,Firefox 73.0,Windows 10,2,
112,00000000,2020-02-15 18:18:07,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,"Nevedel som, ako využiť ponuku Samsung ( získajte dva špičkové telefóny naraz ), musel som kontaktovať zákaznícku linku."
113,00000000,2020-02-15 19:07:24,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Je to velmi jednoduche
114,00000000,2020-02-15 21:24:17,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
115,00000000,2020-02-15 21:27:19,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,prehladne
116,00000000,2020-02-15 21:39:51,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,"prehľadné, zrozumiteľné"
117,00000000,2020-02-16 07:20:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
118,00000000,2020-02-16 07:36:09,Slovakia,desktop,Chrome 75.0.3770,Windows 7,5,
119,00000000,2020-02-16 08:13:43,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,1,Jednoducha a prehladna apka
120,00000000,2020-02-16 08:16:06,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
121,00000000,2020-02-16 08:33:07,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,1,Vyhovuje mi to
122,00000000,2020-02-16 09:42:00,Slovakia,tablet,Mobile Safari 10.0,iOS 10.3.3,5,
123,00000000,2020-02-16 10:15:54,Slovakia,desktop,Opera 55.2.2719,Linux,1,"Vsetko bolo zrozumitelne napisane a uvedene, bez zbytocneho hladania informacii."
124,00000000,2020-02-16 11:39:24,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
125,00000000,2020-02-16 12:20:54,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,5,
126,00000000,2020-02-16 12:42:42,Switzerland,desktop,Chrome 73.0.3683,Windows 10,4,.
127,00000000,2020-02-16 13:30:15,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
128,00000000,2020-02-16 14:28:28,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,Poprosil by som o prehladnejsie prezeranie samotnych ponukanych slluzieb 
129,00000000,2020-02-16 14:34:49,Slovakia,desktop,Firefox 72.0,Windows 10,1,vsetko jasne
130,00000000,2020-02-16 15:56:49,Slovakia,phone,Chrome Mobile 79.0.3945,Android,5,
131,00000000,2020-02-16 16:10:39,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
132,00000000,2020-02-16 17:58:12,Slovakia,phone,Facebook 185.0.0,Android,1,
133,00000000,2020-02-16 18:12:00,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
