Moisture,Soil_temp,EC,time
22003198.0,22.06,3604661.0,2020-10-09 12:19:25
22003164.0,22.12,3604599.0,2020-10-09 12:19:37
22002573.0,22.12,3604538.0,2020-10-09 12:19:49
22002015.0,22.06,3604497.0,2020-10-09 12:20:13
22002357.0,22.06,3604449.0,2020-10-09 12:20:26
22001891.0,22.12,3604476.0,2020-10-09 12:20:38
22002656.0,22.06,3604620.0,2020-10-09 12:21:03
22002873.0,22.06,3604667.0,2020-10-09 12:21:15
22002315.0,22.12,3604538.0,2020-10-09 12:21:27
22003198.0,22.06,3604667.0,2020-10-09 12:21:38
22002823.0,22.06,3604681.0,2020-10-09 12:21:49
22002149.0,22.06,3604592.0,2020-10-09 12:22:01
22002315.0,22.06,3604640.0,2020-10-09 12:22:13
22003156.0,22.06,3604640.0,2020-10-09 12:22:25
22003664.0,22.12,3604749.0,2020-10-09 12:22:37
22002532.0,22.06,3604524.0,2020-10-09 12:23:00
22002915.0,22.06,3604524.0,2020-10-09 12:23:23
22003198.0,22.06,3604667.0,2020-10-09 12:23:34
22002532.0,22.06,3604429.0,2020-10-09 12:23:45
22002149.0,22.06,3604511.0,2020-10-09 12:23:58
22001508.0,22.06,3604398.0,2020-10-09 12:24:11
22002915.0,22.06,3604538.0,2020-10-09 12:24:24
22002398.0,22.06,3604579.0,2020-10-09 12:24:35
22002998.0,22.06,3604654.0,2020-10-09 12:25:00
22002274.0,22.06,3604606.0,2020-10-09 12:25:12
22002482.0,22.06,3604490.0,2020-10-09 12:25:23
22002190.0,22.06,3604497.0,2020-10-09 12:25:35
22002698.0,22.06,3604681.0,2020-10-09 12:25:47
22003123.0,22.06,3604695.0,2020-10-09 12:25:59
22001724.0,22.06,3604442.0,2020-10-09 12:26:11
22002906.0,22.06,3604456.0,2020-10-09 12:26:23
22002781.0,22.06,3604565.0,2020-10-09 12:26:34
22003123.0,22.06,3604633.0,2020-10-09 12:26:58
22003422.0,22.06,3604558.0,2020-10-09 12:27:11
22002656.0,22.06,3604626.0,2020-10-09 12:27:23
22002532.0,22.06,3604538.0,2020-10-09 12:27:34
22002656.0,22.06,3604538.0,2020-10-09 12:27:46
22002956.0,22.06,3604729.0,2020-10-09 12:27:57
22003331.0,22.06,3604667.0,2020-10-09 12:28:21
22002740.0,22.06,3604538.0,2020-10-09 12:28:45
22003039.0,22.06,3604545.0,2020-10-09 12:28:56
22002656.0,22.06,3604633.0,2020-10-09 12:29:07
22002740.0,22.06,3604565.0,2020-10-09 12:29:20
22002315.0,22.06,3604483.0,2020-10-09 12:29:32
22002398.0,22.06,3604470.0,2020-10-09 12:29:44
22003281.0,22.06,3604722.0,2020-10-09 12:29:56
22003164.0,22.06,3604558.0,2020-10-09 12:30:08
22003248.0,22.06,3604688.0,2020-10-09 12:30:33
22003156.0,22.06,3604579.0,2020-10-09 12:30:45
22002956.0,22.06,3604661.0,2020-10-09 12:30:58
22003339.0,22.06,3604606.0,2020-10-09 12:31:09
22003164.0,22.06,3604770.0,2020-10-09 12:31:34
22003039.0,22.06,3604592.0,2020-10-09 12:31:45
22002315.0,22.06,3604613.0,2020-10-09 12:31:57
22003031.0,22.06,3604613.0,2020-10-09 12:32:19
22003664.0,22.06,3604661.0,2020-10-09 12:32:32
22003081.0,22.06,3604715.0,2020-10-09 12:32:44
22003331.0,22.06,3604702.0,2020-10-09 12:33:09
22002656.0,22.06,3604633.0,2020-10-09 12:33:33
22003123.0,22.06,3604606.0,2020-10-09 12:33:46
22003714.0,22.06,3604688.0,2020-10-09 12:33:58
22003755.0,22.06,3604742.0,2020-10-09 12:34:09
22002865.0,22.06,3604613.0,2020-10-09 12:34:22
22002865.0,22.06,3604545.0,2020-10-09 12:34:35
22002823.0,22.06,3604592.0,2020-10-09 12:34:47
22002149.0,22.06,3604490.0,2020-10-09 12:34:59
22002998.0,22.06,3604702.0,2020-10-09 12:35:11
22002490.0,22.06,3604586.0,2020-10-09 12:35:23
22002998.0,22.06,3604613.0,2020-10-09 12:35:35
22002065.0,22.06,3604613.0,2020-10-09 12:35:46
22001549.0,22.06,3604504.0,2020-10-09 12:35:59
22002440.0,22.06,3604599.0,2020-10-09 12:36:11
22002440.0,22.06,3604674.0,2020-10-09 12:36:23
22002656.0,22.06,3604654.0,2020-10-09 12:36:35
